0.1759 105.0000 0.8002 15.0000 0.9605 15.0000
0.1354 120.0000 0.7171 16.0000 0.9179 16.0000
0.1799 120.0000 0.5605 16.0000 0.8558 16.0000
0.2640 120.0000 0.5149 16.0000 0.8052 16.0000
0.2432 120.0000 0.5001 16.0000 0.8466 16.0000
0.1800 120.0000 0.6368 16.0000 0.8741 16.0000
0.1706 190.0000 0.5386 20.0000 0.8274 20.0000
0.1594 136.0000 0.6437 17.0000 0.8666 17.0000
0.1625 153.0000 0.5519 18.0000 0.8588 18.0000
0.1685 153.0000 0.6329 18.0000 0.8976 18.0000
0.0892 55.0000 0.8992 11.0000 0.9735 11.0000
0.1058 55.0000 0.9040 11.0000 0.9695 11.0000
0.0753 55.0000 0.9112 11.0000 0.9791 11.0000
0.1685 194.0000 0.6451 28.0000 0.8797 28.0000
0.1127 91.0000 0.7437 14.0000 0.9315 14.0000
0.1480 182.0000 0.5738 28.0000 0.8349 28.0000
0.1018 109.0000 0.8683 15.0000 0.9592 15.0000
0.1240 552.0000 0.7742 48.0000 0.9372 48.0000
0.1551 2630.0000 0.6782 334.0000 0.8942 334.0000
