0.0857 315.0000 0.0784 315.0000 0.1831 315.0000 0.7936 45.0000 0.9451 45.0000 0.9225
0.2130 360.0000 0.1304 360.0000 0.2063 360.0000 0.6333 48.0000 0.8799 48.0000 0.6667
0.2458 360.0000 0.1436 360.0000 0.2433 360.0000 0.5486 48.0000 0.8388 48.0000 0.6541
0.3973 360.0000 0.0691 360.0000 0.3762 360.0000 0.4664 48.0000 0.7740 48.0000 0.2154
0.2088 360.0000 0.1712 360.0000 0.2435 360.0000 0.5295 48.0000 0.8596 48.0000 0.7885
0.1913 360.0000 0.1303 360.0000 0.1949 360.0000 0.6618 48.0000 0.8778 48.0000 0.7236
0.2676 570.0000 0.1856 570.0000 0.2751 570.0000 0.5111 60.0000 0.8085 60.0000 0.6714
0.2869 408.0000 0.1493 408.0000 0.3065 408.0000 0.6960 51.0000 0.8776 51.0000 0.5254
0.2408 459.0000 0.2147 459.0000 0.3254 459.0000 0.6034 54.0000 0.8604 54.0000 0.7714
0.2171 459.0000 0.1017 459.0000 0.2217 459.0000 0.7260 54.0000 0.9135 54.0000 4.3461
0.1448 165.0000 0.1084 165.0000 0.1419 165.0000 0.8647 33.0000 0.9755 33.0000 0.7689
0.1502 165.0000 0.1086 165.0000 0.1638 165.0000 0.8065 33.0000 0.9347 33.0000 0.7938
0.1412 165.0000 0.1112 165.0000 0.1529 165.0000 0.8278 33.0000 0.9591 33.0000 0.8011
0.1566 582.0000 0.1236 582.0000 0.1779 582.0000 0.7779 84.0000 0.9205 84.0000 0.7603
0.1449 273.0000 0.1210 273.0000 0.2020 273.0000 0.7465 42.0000 0.8930 42.0000 0.7658
0.2112 546.0000 0.1356 546.0000 0.2377 546.0000 0.5726 84.0000 0.8122 84.0000 0.6637
0.3932 327.0000 0.0942 327.0000 0.2722 327.0000 0.7864 45.0000 0.9202 45.0000 0.3859
0.2240 1656.0000 0.1502 1656.0000 0.2414 1656.0000 0.7278 144.0000 0.8985 144.0000 0.6404
0.2252 7890.0000 0.1371 7890.0000 0.2406 7890.0000 0.6761 1002.0000 0.8814 1002.0000 0.8814
