0.0783 105.0000 0.0860 105.0000 0.1711 105.0000 0.8831 15.0000 0.9775 15.0000 1.0962
0.2097 120.0000 0.0781 120.0000 0.1391 120.0000 0.6954 16.0000 0.9090 16.0000 0.6490
0.2175 120.0000 0.1199 120.0000 0.1950 120.0000 0.5675 16.0000 0.8552 16.0000 0.6959
0.3418 120.0000 0.0736 120.0000 0.2653 120.0000 0.4909 16.0000 0.8098 16.0000 0.3391
0.1671 120.0000 0.1562 120.0000 0.2132 120.0000 0.5349 16.0000 0.8584 16.0000 0.9197
0.1651 120.0000 0.1567 120.0000 0.1877 120.0000 0.6084 16.0000 0.8718 16.0000 0.9512
0.1776 190.0000 0.1218 190.0000 0.1609 190.0000 0.5850 20.0000 0.8429 20.0000 0.8181
0.1685 136.0000 0.1117 136.0000 0.1596 136.0000 0.6443 17.0000 0.8661 17.0000 0.7952
0.1372 153.0000 0.1382 153.0000 0.1721 153.0000 0.5518 18.0000 0.8499 18.0000 1.0145
0.3594 153.0000 0.1231 153.0000 0.1863 153.0000 0.5729 18.0000 0.8800 18.0000 6.5617
0.1356 55.0000 0.0640 55.0000 0.0918 55.0000 0.8844 11.0000 0.9663 11.0000 0.7815
0.1338 55.0000 0.0842 55.0000 0.1222 55.0000 0.8518 11.0000 0.9498 11.0000 0.8281
0.1288 55.0000 0.0628 55.0000 0.0969 55.0000 0.8896 11.0000 0.9776 11.0000 0.7757
0.1339 194.0000 0.1064 194.0000 0.1497 194.0000 0.6884 28.0000 0.8938 28.0000 0.8762
0.0884 91.0000 0.0706 91.0000 0.1146 91.0000 0.7898 14.0000 0.9458 14.0000 0.8914
0.1560 182.0000 0.0802 182.0000 0.1393 182.0000 0.5956 28.0000 0.8463 28.0000 0.7562
0.2560 109.0000 0.0770 109.0000 0.1354 109.0000 0.7805 15.0000 0.9354 15.0000 0.6207
0.1738 552.0000 0.1046 552.0000 0.2050 552.0000 0.6967 48.0000 0.8977 48.0000 0.7493
0.1830 2630.0000 0.1053 2630.0000 0.1730 2630.0000 0.6693 334.0000 0.8897 334.0000 1.1178
