0.0682 105.0000 0.0592 105.0000 0.1347 105.0000 0.8612 15.0000 0.9749 15.0000 0.8814
0.1696 120.0000 0.0903 120.0000 0.1381 120.0000 0.7151 16.0000 0.9173 16.0000 0.7478
0.2210 120.0000 0.1177 120.0000 0.1942 120.0000 0.5695 16.0000 0.8456 16.0000 0.6825
0.3556 120.0000 0.0812 120.0000 0.3248 120.0000 0.4915 16.0000 0.7998 16.0000 0.3099
0.1941 120.0000 0.1909 120.0000 0.2368 120.0000 0.5062 16.0000 0.8624 16.0000 0.9653
0.1664 120.0000 0.1337 120.0000 0.1754 120.0000 0.6192 16.0000 0.8658 16.0000 0.8495
0.1976 190.0000 0.1328 190.0000 0.1813 190.0000 0.5199 20.0000 0.8255 20.0000 0.7800
0.1750 136.0000 0.1133 136.0000 0.1659 136.0000 0.6760 17.0000 0.8814 17.0000 0.7710
0.1447 153.0000 0.1340 153.0000 0.1960 153.0000 0.5726 18.0000 0.8581 18.0000 0.9182
0.2410 153.0000 0.0957 153.0000 0.1938 153.0000 0.6779 18.0000 0.9112 18.0000 4.7296
0.1076 55.0000 0.0810 55.0000 0.1050 55.0000 0.8818 11.0000 0.9729 11.0000 0.8542
0.1061 55.0000 0.0704 55.0000 0.0961 55.0000 0.9003 11.0000 0.9771 11.0000 0.8614
0.0932 55.0000 0.0767 55.0000 0.0913 55.0000 0.8602 11.0000 0.9684 11.0000 0.9272
0.1616 194.0000 0.1260 194.0000 0.1769 194.0000 0.6139 28.0000 0.8750 28.0000 0.8495
0.1040 91.0000 0.0735 91.0000 0.1242 91.0000 0.7333 14.0000 0.9165 14.0000 0.8442
0.1664 182.0000 0.0916 182.0000 0.1612 182.0000 0.5715 28.0000 0.8366 28.0000 0.7424
0.3634 109.0000 0.0598 109.0000 0.1571 109.0000 0.8048 15.0000 0.9455 15.0000 0.4312
0.1806 552.0000 0.0738 552.0000 0.1344 552.0000 0.7959 48.0000 0.9365 48.0000 0.6984
0.1854 2630.0000 0.1001 2630.0000 0.1679 2630.0000 0.6783 334.0000 0.8940 334.0000 0.9913
